DATE,CITY,PRECIPITATION,PRCP
2021-05-24,New York City,0.0,0.0
2021-05-25,New York City,0.0,0.0
2021-05-26,New York City,0.04727272727272727,0.04727272727272727
2021-05-27,New York City,0.16909090909090907,0.16909090909090907
2021-05-28,New York City,0.2608333333333333,0.2608333333333333
2021-05-29,New York City,1.3909090909090909,1.3909090909090909
2021-05-30,New York City,0.6344444444444445,0.6344444444444445
2021-05-31,New York City,0.6227272727272728,0.6227272727272728
2021-06-01,New York City,0.005,0.005
2021-06-02,New York City,0.0,0.0
2021-06-03,New York City,0.07916666666666668,0.07916666666666668
2021-06-04,New York City,0.3466666666666667,0.3466666666666667
2021-06-05,New York City,0.23200000000000004,0.23200000000000004
2021-06-06,New York City,0.0,0.0
2021-06-07,New York City,0.007000000000000001,0.007000000000000001
2021-06-08,New York City,0.1525,0.1525
2021-06-09,New York City,0.38727272727272727,0.38727272727272727
2021-06-10,New York City,0.001,0.001
2021-06-11,New York City,0.0,0.0
2021-06-12,New York City,0.0009090909090909091,0.0009090909090909091
2021-06-13,New York City,0.001,0.001
2021-06-14,New York City,0.05454545454545454,0.05454545454545454
2021-06-15,New York City,0.08583333333333333,0.08583333333333333
2021-06-16,New York City,0.0,0.0
2021-06-17,New York City,0.0,0.0
2021-06-18,New York City,0.0,0.0
2021-06-19,New York City,0.060000000000000005,0.060000000000000005
2021-06-20,New York City,0.23307692307692307,0.23307692307692307
2021-06-21,New York City,0.04692307692307692,0.04692307692307692
2021-06-22,New York City,0.08833333333333333,0.08833333333333333
2021-06-23,New York City,0.26166666666666666,0.26166666666666666
2021-06-24,New York City,0.0015384615384615385,0.0015384615384615385
2021-06-25,New York City,0.007692307692307693,0.007692307692307693
2021-06-26,New York City,0.005384615384615385,0.005384615384615385
2021-06-27,New York City,0.006923076923076922,0.006923076923076922
2021-06-28,New York City,0.0,0.0
2021-06-29,New York City,0.0,0.0
2021-06-30,New York City,0.0625,0.0625
2021-07-01,New York City,0.2969230769230769,0.2969230769230769
2021-07-02,New York City,0.8376923076923077,0.8376923076923077
2021-07-03,New York City,0.8523076923076923,0.8523076923076923
2021-07-04,New York City,0.34076923076923077,0.34076923076923077
2021-07-05,New York City,0.006153846153846154,0.006153846153846154
2021-07-06,New York City,0.105,0.105
2021-07-07,New York City,0.2576923076923077,0.2576923076923077
2021-07-08,New York City,0.23857142857142857,0.23857142857142857
2021-07-09,New York City,2.3664285714285715,2.3664285714285715
2021-07-10,New York City,0.6021428571428571,0.6021428571428571
2021-07-11,New York City,0.007857142857142858,0.007857142857142858
2021-07-12,New York City,0.22642857142857142,0.22642857142857142
2021-07-13,New York City,0.11692307692307692,0.11692307692307692
2021-07-14,New York City,0.01,0.01
2021-07-15,New York City,0.0014285714285714286,0.0014285714285714286
2021-07-16,New York City,0.0,0.0
